address,chain,entity_type,risk_label,risk_type,source,loss_usd,root_cause
0x000000000000000000000000000000000000dead,ETH,wallet,0,legit,eth_addresses,,nan
0x0000000000004946c0e9f43f4dee607b0ef1fa1c,ETH,token,0,legit,eth_addresses,,nan
0x000000000000541e251335090ac5b47176af4f7e,ETH,wallet,0,legit,eth_addresses,,nan
0x000000000000d64cc9d4c7d2a573d7205926677a,ETH,contract,0,legit,eth_addresses,,nan
0x0000000000013949f288172bd7e36837bddc7211,ETH,token,0,legit,eth_addresses,,nan
0x00000000000274be4365aa18cfdc9a22a947f67d,ETH,contract,0,legit,eth_addresses,,nan
0x0000000000075efbee23fe2de1bd0b7690883cc9,ETH,token,0,legit,eth_addresses,,nan
0x0000000000085d4780b73119b644ae5ecd22b376,ETH,token,0,legit,eth_addresses,,nan
0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,ETH,contract,0,legit,eth_addresses,,nan
0x00000000000dbef74a0e053433503acae8dc80f5,ETH,contract,0,legit,eth_addresses,,nan
0x00000000001876eb1444c986fd502e618c587430,ETH,contract,0,legit,eth_addresses,,nan
0x000000000019fff0e5b945e90ee1e606aa22c6c2,ETH,contract,0,legit,eth_addresses,,nan
0x00000000001e980d286be7f5f978f4cc33128202,ETH,contract,0,legit,eth_addresses,,nan
0x00000000001f2bec34d4a98c839cf711afc842c6,ETH,contract,0,legit,eth_addresses,,nan
0x00000000002226c940b74d674b85e4be05539663,ETH,contract,0,legit,eth_addresses,,nan
0x000000000026750c571ce882b17016557279adaa,ETH,contract,0,legit,eth_addresses,,nan
0x00000000003709edea9182789f1153e59cfe849e,ETH,contract,0,legit,eth_addresses,,nan
0x0000000000415b1381260ae0f9f78d8207452815,ETH,contract,0,legit,eth_addresses,,nan
0x000000000041d7d38b9061e1aa93f014f2f28393,ETH,contract,0,legit,eth_addresses,,nan
0x00000000004cda75701eea02d1f2f9bdce54c10d,ETH,contract,0,legit,eth_addresses,,nan
0x00000000004f319450e1e1ce5e40813e7e1fe0b4,ETH,contract,0,legit,eth_addresses,,nan
0x00000000005280b515004b998a944630b6c663f8,ETH,contract,0,legit,eth_addresses,,nan
0x00000000005330029d3de861454979d0dd8c89dc,ETH,contract,0,legit,eth_addresses,,nan
0x000000000053d1f0f8aa88b9001bec1b49445b3c,ETH,contract,0,legit,eth_addresses,,nan
0x000000000067503c398f4c9652530dbc4ea95c02,ETH,contract,0,legit,eth_addresses,,nan
0x000000000075a05df21466285a7ff8c9df5a11ed,ETH,contract,0,legit,eth_addresses,,nan
0x0000000000796dc3aa12eb9fe3b6e8f4d92cc966,ETH,contract,0,legit,eth_addresses,,nan
0x00000000007de1d7ce62fffeddcc1663b701e875,ETH,contract,0,legit,eth_addresses,,nan
0x0000000000861ff98a332571edd7e6ef73ab2b2b,ETH,contract,0,legit,eth_addresses,,nan
0x000000000088387c42fe85a60df4dce8e34eea4e,ETH,contract,0,legit,eth_addresses,,nan
0x00000000008943c65caf789fffcf953be156f6f8,ETH,contract,0,legit,eth_addresses,,nan
0x00000000008a10a98969a000d1c0aba90f858d6a,ETH,contract,0,legit,eth_addresses,,nan
0x00000000008ac532ee543e89cfc462827afb9369,ETH,contract,0,legit,eth_addresses,,nan
0x000000000092c287eb63e8c2c30b4a74787054f8,ETH,contract,0,legit,eth_addresses,,nan
0x00000000009f22da6feb6735614563b9af0339fb,ETH,contract,0,legit,eth_addresses,,nan
0x0000000000ab32e9e7bd6bd3c37a7e99fb8c2d43,ETH,contract,0,legit,eth_addresses,,nan
0x0000000000b3f879cb30fe243b4dfee438691c04,ETH,token,0,legit,eth_addresses,,nan
0x0000000000b4004dd6771bf29079c3699e5d9c95,ETH,contract,0,legit,eth_addresses,,nan
0x0000000000bda2152794ac8c76b2dc86cba57cad,ETH,contract,0,legit,eth_addresses,,nan
